	#JCAT	Satcat	Piece	Type	Name	PLName	LDate	Parent	SDate	Primary	DDate	Status	Dest	Owner	State	Manufacturer	Bus	Motor	Mass	MassFlag	DryMass	DryFlag	TotMass	TotFlag	Length	LFlag	Diameter	DFlag	Span	SpanFlag	Shape	ODate	Perigee	PF	Apogee	AF	Inc	IF	OpOrbit	OQUAL	AltNames
25995	S25996	25996	1999-069A	PH H-S      	Discovery (STS-103)	OV-103	1999-12-20	A06232	1999 Dec 20 0058	Earth	1999 Dec 28 0000	L	KSC RW33	JSC	US	BNAP	STS OV	-	   99829 	 	  88945 	 	  107177 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1999 Dec 21	     570	 	     589	 	 28.47 	 	LLEO/I	-	-
26032	S26033	26033	1999-070B	P           	ACRIMSAT	ACRIMSAT	1999-12-21	S26034	1999 Dec 21 0731	Earth	-	O	-	JPL	US	OSCM	Ministar	-	     109 	 	    109 	 	     109 	 	   0.7 	 	  0.8 	 	    2.2 	 	Hex Cyl + 4 Pan	2000 Jan 20	     682	 	     727	 	 98.28 	 	LEO/S	-	-
26087	S26088	26088	2000-010A	PH H-S      	Endeavour (STS-99)	OV-105	2000-02-11	A06261	2000 Feb 11 1752	Earth	2000 Feb 22 2322	L	KSC RW33	JSC	US	BNAP	STS OV	-	   95593 	 	  87750 	 	  109915 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	2000 Feb 13	     224	 	     242	 	 57.01 	 	LLEO/I	-	-
26112	S26113	26113	2000-017A	P           	IMAGE	IMAGE	2000-03-25	S26115	2000 Mar 25 2130	Earth	-	O	-	GSFC	US	LMMS	LM100	-	     494 	 	    494 	 	     494 	 	   1.5 	 	  2.3 	 	  500.0 	 	Oct Cyl + 4 Ant	2000 Apr 26	    1055	 	   45925	 	 89.83 	 	HEO	-	NAIF166
26367	S26368	26368	2000-027A	PH H-V      	Atlantis (STS-101)	OV-104	2000-05-19	A06276	2000 May 19 1019	Earth	2000 May 21 0431	DK	A06140	JSC	US	BNAP	STS OV	-	  101377 	 	  90552 	 	  114331 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	2000 May 21	     319	 	     333	 	 51.58 	 	LLEO/I	-	-
26387	S26388	26388	2000-034A	P           	TDRS 8	TDRS H	2000-06-30	S26389	2000 Jun 30 1326	Earth	-	O	-	GSFC	US	HSES	HS-601	R-4D-11-300	    3180 	 	   1600 	?	    3180 	 	   8.4 	 	  3.4 	 	   21.0 	 	Box + 2 Pan + 2 Dish	2000 Dec 14	   35669	 	   35899	 	  6.72 	 	GEO/I	-	-
26488	S26489	26489	2000-053A	PH H-V      	Atlantis (STS-106)	OV-104	2000-09-08	A06298	2000 Sep  8 1254	Earth	2000 Sep 10 0551	DK	A06140	JSC	US	BNAP	STS OV	-	  100416 	 	  88549 	 	  114935 	?	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	2000 Sep  8	     158	 	     324	 	 51.58 	 	LLEO/I	-	-
26560	S26561	26561	2000-061A	P           	HETE 2	HETE 2	2000-10-09	S26562	2000 Oct  9 0550	Earth	-	O	-	GSFC	US	MIT	HETE	-	     124 	 	    124 	 	     124 	 	   0.7 	 	  0.5 	 	    1.1 	 	Box	2000 Oct 10	     595	 	     636	 	  1.95 	 	LEO/E	-	-
26562	S26563	26563	2000-062A	PH H-V      	Discovery (STS-92)	OV-103	2000-10-11	A06318	2000 Oct 11 2325	Earth	2000 Oct 13 1745	DK	A06140	JSC	US	BNAP	STS OV	-	  100983 	 	  88862 	 	  114967 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	2000 Oct 13	     311	 	     375	 	 51.57 	 	LLEO/I	-	-
26618	S26619	26619	2000-075A	P           	EO-1	Earth Orbiter 1	2000-11-21	S26623	2000 Nov 21 1924	Earth	-	O	-	GSFC	US	SWALES	ATK-A200	AOCS	     588 	 	    566 	 	     588 	 	   0.7 	 	  1.3 	 	    5.0 	 	Hex Cyl + Pan	2000 Nov 21	     682	 	     729	 	 98.28 	 	LEO/S	-	-
26629	S26630	26630	2000-078A	PH H-V      	Endeavour (STS-97)	OV-105	2000-12-01	A06370	2000 Dec  1 0314	Earth	2000 Dec  2 1959	DK	A06325	JSC	US	BNAP	STS OV	-	   95600 	 	  86660 	 	  115052 	?	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	2000 Dec  1	     207	 	     322	 	 51.58 	 	LLEO/I	-	-
26697	S26698	26698	2001-006A	PH H-V      	Atlantis (STS-98)	OV-104	2001-02-07	A06435	2001 Feb  7 2321	Earth	2001 Feb  9 1650	DK	A06325	JSC	US	BNAP	STS OV	-	   98807 	 	  86638 	 	  113867 	?	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	2001 Feb  9	     183	 	     337	 	 51.30 	 	LLEO/I	-	-
26699	S26700	26700	2001-006B	PPTH-MU     	Destiny	ISS US Lab Module	2001-02-07	S26698  5-12 	2001 Feb 10 1735	Earth	2001 Feb 10 1735	ATT	A06444	JSC	US	BOHSV	ISS Module	-	   13547 	 	  11300 	 	   13547 	 	   9.2 	 	  4.4 	 	    9.2 	 	Cyl	2001 Feb 14	     365	 	     378	 	 51.60 	 	LLEO/I	-	-
26717	S26718	26718	2001-010A	PH H-V      	Discovery (STS-102)	OV-103	2001-03-08	A06459	2001 Mar  8 1150	Earth	2001 Mar 10 0638	DK	A06140	JSC	US	BNAP	STS OV	-	  104420 	 	  92186 	 	  114957 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	2001 Mar 10	     370	 	     381	 	 51.57 	 	LLEO/I	-	-
26733	S26734	26734	2001-013A	P   D       	Mars Odyssey	2001 Mars Odyssey	2001-04-07	S26735	2001 Apr  7 1533	Earth	2001 Apr  8 0020	DSO	D00774	JPL	US	LMA/DENV	Mars Surveyor	Leros 1B/X	     725 	 	    376 	 	     725 	 	   2.2 	 	  2.6 	 	    8.5 	 	Box + Pan + Ant	2001 Apr  7	     185	 	  -87213	 	 51.83 	 	EEO	-	-
26746	S26747	26747	2001-016A	PH H-V      	Endeavour (STS-100)	OV-105	2001-04-19	A06493	2001 Apr 19 1849	Earth	2001 Apr 21 1358	DK	A06140	JSC	US	BNAP	STS OV	-	   99256 	 	  88857 	 	  114787 	?	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	2001 Apr 21	     331	 	     375	 	 51.57 	 	LLEO/I	-	-
26858	S26859	26859	2001-027A	P   D       	WMAP	Microwave Anisotropy Probe	2001-06-30	A06524	2001 Jun 30 2112	Earth	2001 Jul  1 1308	DSO	D00778	GSFC	US	GSFC	MIDEX	AOCS	     840 	 	    768 	 	     840 	 	   3.8 	 	  2.0 	?	    5.0 	 	Box + 2 Dish + Plate	2001 Jul 10	    3144	 	  347874	 	 28.31 	 	CLO	-	-
26861	S26862	26862	2001-028A	PH H-V      	Atlantis (STS-104)	OV-104	2001-07-12	A06529	2001 Jul 12 0913	Earth	2001 Jul 14 0308	DK	A06140	JSC	US	BNAP	STS OV	-	  100444 	 	  89010 	 	  115375 	?	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	2001 Jul 13	     237	 	     307	 	 51.57 	 	LLEO/I	-	-
26883	S26884	26884	2001-034A	P   D       	Genesis	Genesis	2001-08-08	S26886	2001 Aug  8 1717	Earth	2001 Aug  9 0650	DSO	D00782	JPL	US	LMA	Genesis	AOCS 4x22N	     636 	 	    494 	 	     636 	 	   2.3 	 	  2.0 	 	    7.9 	 	Box + 2 Pan	2001 Aug 10	     189	 	 1225640	 	 28.70 	 	CLO	-	-
26887	S26888	26888	2001-035A	PH H-V      	Discovery (STS-105)	OV-103	2001-08-10	A06554	2001 Aug 10 2119	Earth	2001 Aug 12 1842	DK	A06140	JSC	US	BNAP	STS OV	-	   99006 	 	  88005 	 	  115166 	?	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	2001 Aug 10	     155	 	     233	 	 51.63 	 	LLEO/I	-	-
26888	S26889	26889	2001-035B	P ---S-     	Simplesat	Simplesat	2001-08-10	A06567  13S  	2001 Aug 20 1829	Earth	2002 Jan 30 0634?	R	20.4N 156.9E	GSFC	US	GSFC	Simplesat	-	      52 	 	     52 	 	      52 	 	   0.7 	 	  0.5 	 	    0.7 	 	Oct Cyl	2001 Aug 20	     385	 	     403	 	 51.64 	 	LLEO/I	-	-
26928	S26929	26929	2001-043A	P           	Starshine-OSCAR-43	Starshine 3	2001-09-30	S26933	2001 Sep 30 0450	Earth	2003 Jan 21	R	-	GSFC	US	NRL	Starshine	-	      90 	 	     90 	 	      90 	 	   0.9 	 	  0.9 	 	    0.9 	 	Sphere	2001 Sep 30	     467	 	     474	 	 67.05 	 	LLEO/I	-	SO-43
26994	S26995	26995	2001-054A	PH H-V      	Endeavour (STS-108)	OV-105	2001-12-05	A06595	2001 Dec  5 2228	Earth	2001 Dec  7 2003	DK	A06140	JSC	US	BNAP	STS OV	-	   99251 	 	  85556 	 	  114693 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	2001 Dec  5	     225	 	     230	 	 51.60 	 	LLEO/I	-	-
26995	S26996	26996	2001-054B	P ---S-     	Starshine 2	Starshine 2	2001-12-05	A06599  5    	2001 Dec 16 1502	Earth	2002 Apr 26 1115?	R	-	GSFC	US	NRL	Starshine	-	      39 	 	     39 	 	      39 	 	   0.5 	 	  0.5 	 	    0.5 	 	Sphere	2001 Dec 16	     360	 	     391	 	 51.64 	 	LLEO/I	-	-
26997	S26998	26998	2001-055B	P           	TIMED	TIMED	2001-12-07	S26999	2001 Dec  7 1712	Earth	-	O	-	GSFC	US	APL	TIMED	-	     587 	 	    587 	 	     587 	 	   2.7 	 	  1.6 	 	   11.7 	 	Box + 2 Pan	2001 Dec 10	     626	 	     628	 	 74.08 	 	LEO/I	-	-
27369	S27370	27370	2002-004A	P           	RHESSI	HESSI	2002-02-05	S27371	2002 Feb  5 2108	Earth	-	O	-	GSFC	US	SPA	SA-200S	-	     304 	 	    304 	 	     304 	 	   2.2 	 	  1.1 	 	    5.7 	 	Cyl + Box + 4 Pan	2002 Feb  5	     588	 	     609	 	 38.04 	 	LLEO/I	-	-
27387	S27388	27388	2002-010A	PH H-S      	Columbia (STS-109)	OV-102	2002-03-01	A06616	2002 Mar  1 1130	Earth	2002 Mar 12 0931	L	KSC RW33	JSC	US	BNAP	STS OV	-	  104420 	 	  92186 	 	  113838 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	2002 Mar  3	     215	 	     574	 	 28.47 	 	LLEO/I	-	-
27388	S27389	27389	2002-011A	P           	TDRS 9	TDRS I	2002-03-08	S27390	2002 Mar  8 2328	Earth	-	O	-	GSFC	US	BOES	HS-601	R-4D-11-300	    3190 	 	   1600 	?	    3190 	 	   8.4 	 	  3.4 	 	   21.0 	 	Box + 2 Pan + 2 Dish	2002 Nov  1	   35767	 	   35809	 	  8.39 	 	GEO/I	-	-
27412	S27413	27413	2002-018A	PH H-V      	Atlantis (STS-110)	OV-104	2002-04-08	A06647	2002 Apr  8 2052	Earth	2002 Apr 10 1604	DK	A06140	JSC	US	BNAP	STS OV	-	   98518 	 	  87618 	 	  114979 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	2002 Apr  9	     155	 	     225	 	 51.63 	 	LLEO/I	-	-
27423	S27424	27424	2002-022A	P           	Aqua	EOS PM-1	2002-05-04	S27425	2002 May  4 1054	Earth	-	O	-	GSFC	US	TRW	T-330	AOCS	    3078 	 	   2976 	 	    3078 	 	   6.7 	 	  2.5 	 	   17.0 	 	Box + Pan	2002 May 14	     673	 	     686	 	 98.18 	 	LEO/S	-	NAIF154
27439	S27440	27440	2002-028A	PH H-V      	Endeavour (STS-111)	OV-105	2002-06-05	A06685	2002 Jun  5 2131	Earth	2002 Jun  7 1624	DK	A06140	JSC	US	BNAP	STS OV	-	   98660 	 	  86750 	 	  114996 	?	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	2002 Jun  8	     381	 	     389	 	 51.64 	 	LLEO/I	-	-
27536	S27537	27537	2002-047A	PH H-V      	Atlantis (STS-112)	OV-104	2002-10-07	A06726	2002 Oct  7 1954	Earth	2002 Oct  9 1516	DK	A06140	JSC	US	BNAP	STS OV	-	   98674 	 	  88713 	 	  115334 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	2002 Oct  9	     220	 	     241	 	 51.63 	 	LLEO/I	-	-
27555	S27556	27556	2002-052A	PH H-V      	Endeavour (STS-113)	OV-105	2002-11-24	A06753	2002 Nov 24 0058	Earth	2002 Nov 25 2159	DK	A06140	JSC	US	BNAP	STS OV	-	   97378 	 	  87764 	 	  113526 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	2002 Nov 26	     378	 	     397	 	 51.64 	 	LLEO/I	-	-
27565	S27566	27566	2002-055A	P           	TDRS 10	TDRS J	2002-12-05	S27567	2002 Dec  5 0321	Earth	-	O	-	GSFC	US	BOES	HS-601	R-4D-11-300	    3189 	 	   1514 	 	    3189 	 	   8.4 	 	  3.4 	 	   21.0 	 	Box + 2 Pan + 2 Dish	2004 Jan  1	   35766	 	   35798	 	  6.09 	 	GEO/I	-	-
27641	S27642	27642	2003-002A	P           	Icesat	Icesat	2003-01-13	S27644	2003 Jan 13 0149	Earth	2010 Aug 30 0900?	R	Barents	GSFC	US	BALL	BCP-2000	-	     959 	 	    882 	 	     959 	 	   3.1 	 	  1.9 	 	    6.5 	?	Oct Cyl + 2 Pan	2003 Feb  2	     585	 	     602	 	 94.01 	 	LLEO/P	-	-
27642	S27643	27643	2003-002B	P           	Chips	Chipsat	2003-01-13	S27645	2003 Jan 13 0208	Earth	-	O	-	GSFC	US	SPDEV	CHIPS	-	      60 	 	     60 	 	      60 	 	   0.5 	 	  1.0 	 	    1.0 	 	Box	2003 Feb  2	     577	 	     594	 	 94.01 	 	LLEO/P	-	-
27646	S27647	27647	2003-003A	PH H-S      	Columbia (STS-107)	OV-102	2003-01-16	A06785	2003 Jan 16 1547	Earth	2003 Feb  1 1400	D	Texas	JSC	US	BNAP	STS OV	-	   99240 	 	  93516 	 	  113521 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	2003 Jan 23	     270	 	     282	 	 39.00 	 	LLEO/I	-	-
27650	S27651	27651	2003-004A	P           	SORCE	SORCE	2003-01-25	S27652	2003 Jan 25 2024	Earth	-	O	-	GSFC	US	OSCD	Leostar-2	-	     290 	 	    290 	 	     290 	 	   1.6 	 	  1.2 	 	    4.0 	?	Cyl + 6 Pan	2003 Feb  1	     610	 	     649	 	 39.99 	 	LEO/I	-	-
27782	S27783	27783	2003-017A	P           	GALEX	GALEX	2003-04-28	S27784	2003 Apr 28 1211	Earth	-	O	-	GSFC	US	OSCD	Leostar-2	-	     280 	 	    280 	 	     280 	 	   2.0 	 	  1.1 	 	    2.8 	 	Box + 2 Pan	2003 May  1	     693	 	     700	 	 29.00 	 	LEO/I	-	-
27826	S27827	27827	2003-027A	P  LD       	Spirit Rover	Mars Exploration Rover 2	2003-06-10	A06843	2003 Jun 10 1835	Earth	2003 Jun 11 0347	DSA	D00807	JPL	US	JPL?	MPF	-	     174 	 	    174 	 	    1064 	 	   1.4 	 	  1.0 	 	    1.4 	 	Box + 6 Wheel + 2 Ant	2003 Jun 10	     185	 	 -103072	 	 28.46 	 	EEO	-	MER-A
27848	S27849	27849	2003-032A	P  LD       	Opportunity Rover	Mars Exploration Rover 1	2003-07-08	A06846	2003 Jul  8 0436	Earth	2003 Jul  8 1247	DSA	D00815	JPL	US	JPL?	MPF	-	     185 	 	    185 	 	    1065 	 	   1.4 	 	  1.0 	 	    1.4 	 	Box + 6 Wheel + 2 Ant	2003 Jul  8	     184	 	  -89996	 	 29.40 	 	EEO	-	MER-B
27870	S27871	27871	2003-038A	P   D       	Spitzer Space Telescope	SIRTF	2003-08-25	S27872	2003 Aug 25 0623	Earth	2003 Aug 25 1908	DSO	D00824	JPL	US	LMMS	SIRTF	-	     916 	 	    851 	 	     922 	 	   4.5 	 	  2.1 	 	    4.5 	 	Cyl	2003 Aug 25	     172	 	-2084426	 	 31.50 	 	EEO	-	Spitzer Space Telescope
28229	S28230	28230	2004-014A	P           	Gravity Probe B	GP-B	2004-04-20	S28231	2004 Apr 20 1812	Earth	-	O	-	MSFC	US	LMMS/STAN	-	-	    3145 	 	   2805 	 	    3145 	 	   6.4 	 	  2.6 	 	    6.4 	?	Ell + Ant + 4 Pan	2004 Apr 21	     641	 	     645	 	 90.01 	 	LEO/P	-	-
28375	S28376	28376	2004-026A	P           	Aura	EOS Chem-1	2004-07-15	S28377	2004 Jul 15 1106	Earth	-	O	-	GSFC	US	NGST	T-330	AOCS	    3112 	 	   2978 	 	    3112 	 	   6.9 	 	  2.5 	 	   17.4 	 	Box + Pan	2004 Jul 23	     673	 	     682	 	 98.22 	 	LEO/S	-	-
28452	S28453	28453	2001-034D	PX-RD-U     	Genesis SRC	Sample Return Capsule	2001-08-08	S26884	2001 Aug  8 1717	Earth	2001 Aug  9 0650	DSA	D00784	JPL	US	LMSSD	Genesis	-	     220 	 	    220 	 	     220 	 	   1.0 	 	  1.5 	 	    1.5 	 	Cone	2001 Aug 10	     189	 	 1225640	 	 28.70 	 	CLO	-	-
28484	S28485	28485	2004-047A	P           	Swift	Swift GRB Explorer	2004-11-20	S28486	2004 Nov 20 1836	Earth	2018 Jan 11	N	-	GSFC	US	GDG	SA-200HP	-	    1470 	 	   1470 	 	    1470 	 	   2.4 	 	  1.7 	 	    5.5 	 	Cyl + 2 Pan	2004 Nov 21	     584	 	     604	 	 20.56 	 	LLEO/E	-	-
28516	S28517	28517	2005-001A	P   D       	DIF	Deep Impact Flyby	2005-01-12	S28518	2005 Jan 12 1921	Earth	2005 Jan 13 0407	DSO	D00834	JPL	US	BALL	BCP-2000	-	     601 	 	    515 	 	     973 	 	   3.3 	 	  1.7 	 	    3.3 	 	Box + Plate	2005 Jan 12	     179	 	  -86410	 	 29.73 	 	EEO	-	-
28641	S28642	28642	2005-014A	P           	DART	DART/HAPS	2005-04-15	S28643	2005 Apr 15 1738	Earth	2016 May  7 0832?	R	40S 120W	MSFC	US	OSCC?	HAPS	HAPS	     350 	 	    300 	?	     350 	 	   1.8 	 	  1.0 	 	    1.8 	 	Step Cyl	2005 Apr 17	     740	 	     750	 	 97.72 	 	LEO/S	-	-
28774	S28775	28775	2005-026A	PH H-V      	Discovery (STS-114)	OV-103	2005-07-26	A06947	2005 Jul 26 1447	Earth	2005 Jul 28 1118	DK	A06140	JSC	US	BNAP	STS OV	-	   99535 	 	  89097 	 	  115190 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	2005 Jul 31	     350	 	     356	 	 51.65 	 	LLEO/I	-	-
28787	S28788	28788	2005-029A	P   D       	Mars Reconnaissance Orbiter	MRO	2005-08-12	S28789	2005 Aug 12 1241	Earth	2005 Aug 12 2029	DSO	D00839	JPL	US	LMSSD	MRO	MRO AOCS	    2180 	 	    984 	 	    2180 	 	   6.5 	 	  4.0 	?	   13.6 	 	Box + 2 Pan + Dish	2005 Aug 12	     205	 	  -61820	 	 40.72 	 	EEO	-	-
28895	S28896	28896	2000-078B	P ---S-     	FPP	Floating Potential Probe	2000-12-01	S26630	2000 Dec  7 1815?	Earth	2000 Dec  7 1955?	ATT	A06373	JSC	US	DNE/BOHSV	-	-	      23 	 	     23 	?	      23 	 	   0.1 	 	  0.5 	 	    1.4 	 	Hex Cyl + 2 Pan + 2 Ant	2000 Dec  7	     369	 	     380	 	 51.60 	 	LLEO/I	-	FPPU
28926	S28927	28927	1999-003D	P   D       	Sample Return Capsule	SRC	1999-02-07	S25618	1999 Feb  7 2131	Earth	1999 Feb  8 0416	DSA	D00772	JPL	US	LMSSD/DENV	Stardust SRC	-	      46 	 	     46 	 	      46 	 	   0.810	 	  0.5 	 	    0.810	 	DCone	1999 Feb  7	     224	 	  -43632	 	 28.49 	 	EEO	-	-
28979	S28980	28980	2006-008A	P           	ST-5 SC155	Space Technology 5 FWD	2006-03-22	A07013	2006 Mar 22 1413	Earth	-	O	-	GSFC	US	GSFC	ST5	-	      25 	 	     25 	 	      25 	 	   0.5 	 	  0.5 	 	    1.0 	?	Oct Cyl + Ant	2006 Mar 22	     298	 	    4554	 	105.62 	 	MEO	-	-
28980	S28981	28981	2006-008B	P           	ST-5 SC094	Space Technology 5 MID	2006-03-22	A07013	2006 Mar 22 1416	Earth	-	O	-	GSFC	US	GSFC	ST5	-	      25 	 	     25 	 	      25 	 	   0.5 	 	  0.5 	 	    1.0 	?	Oct Cyl + Ant	2006 Mar 23	     303	 	    4547	 	105.61 	 	MEO	-	-
28981	S28982	28982	2006-008C	P           	ST-5 SC224	Space Technology 5 AFT	2006-03-22	A07013	2006 Mar 22 1419	Earth	-	O	-	GSFC	US	GSFC	ST5	-	      25 	 	     25 	 	      25 	 	   0.5 	 	  0.5 	 	    1.0 	?	Oct Cyl + Ant	2006 Mar 23	     303	 	    4551	 	105.62 	 	MEO	-	-
29106	S29107	29107	2006-016A	P           	Cloudsat	Cloudsat	2006-04-28	S29109	2006 Apr 28 1138	Earth	-	O	-	GSFC	US	BALL	BCP-2000	-	     848 	 	    773 	?	     848 	 	   2.5 	 	  2.3 	 	    5.1 	 	Box + 2 Pan	2006 Apr 30	     689	 	     689	 	 98.24 	 	LEO/S	-	-
29250	S29251	29251	2006-028A	PH H-V      	Discovery (STS-121)	OV-103	2006-07-04	A07026	2006 Jul  4 1846	Earth	2006 Jul  6 1451	DK	A06140	JSC	US	BNAP	STS OV	-	   98272 	 	  88485 	 	  114880 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	2006 Jul  6	     334	 	     348	 	 51.63 	 	LLEO/I	-	-
29390	S29391	29391	2006-036A	PH H-V      	Atlantis (STS-115)	OV-104	2006-09-09	A07055	2006 Sep  9 1523	Earth	2006 Sep 11 1048	DK	A06140	JSC	US	BNAP	STS OV	-	   94412 	 	  87291 	 	  114414 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	2006 Sep  9	     228	 	     284	 	 51.63 	 	LLEO/I	-	-
29509	S29510	29510	2006-047A	P   D       	STEREO A	STEREO Ahead	2006-10-26	S29511	2006 Oct 26 0119	Earth	2006 Oct 26 1609	DSO	D00848	GSFC	US	APL	Stereo	-	     620 	 	    560 	 	     620 	 	   1.5 	 	  2.6 	 	    8.6 	 	Box + 2 Pan + 2 Ant	2006 Dec 25	  192937	 	 1772266	 	 33.10 	 	CLO	-	-
29510	S29511	29511	2006-047B	P   D       	STEREO B	STEREO Behind	2006-10-26	A07120	2006 Oct 26 0117	Earth	2006 Oct 26 1609	DSO	D00849	GSFC	US	APL	Stereo	-	     620 	 	    560 	 	     620 	 	   1.5 	 	  2.6 	 	    8.6 	 	Box + 2 Pan + 2 Ant	2006 Dec 25	  115890	 	  858689	 	 28.16 	 	CLO	-	-
29646	S29647	29647	2006-055A	PH H-V      	Discovery (STS-116)	OV-103	2006-12-10	A07138	2006 Dec 10 0156	Earth	2006 Dec 11 2211	DK	A06140	JSC	US	BNAP	STS OV	-	  100644 	 	  90730 	 	  113843 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	2006 Dec 12	     326	 	     358	 	 51.63 	 	LLEO/I	-	-
29654	S29655	29655	2006-058C	P           	Genesat-1	-	2006-12-16	S29654	2006 Dec 16 1220	Earth	2010 Aug  4	R	-	ARC	US	ARC/SCU	Cubesat 3U	-	       3 	 	      3 	 	       3 	 	   0.3 	 	  0.1 	 	    0.3 	 	Box	2006 Dec 18	     413	 	     419	 	 40.03 	 	LLEO/I	-	-
30579	S30580	30580	2007-004A	P           	THEMIS A	THEMIS P5	2007-02-17	A07173	2007 Feb 18 0014	Earth	-	O	-	GSFC	US	SWALES	ATK-A100	-	     125 	 	     76 	 	     125 	 	   0.5 	 	  0.8 	 	   49.6 	 	Box + 2 Ant	2009 Jul  2	    3382	 	   76104	 	  9.25 	 	VHEO	-	-
30580	S30581	30581	2007-004B	P   D       	THEMIS B	THEMIS P1	2007-02-17	A07173	2007 Feb 18 0014	Earth	2007 Oct  5 0846	DSO	D00868	GSFC	US	SWALES	ATK-A100	-	     125 	 	     76 	 	     125 	 	   0.5 	 	  0.8 	 	   49.6 	 	Box + 2 Ant	2009 Jul  1	    2573	 	  195523	 	 10.72 	 	DSO	-	-
30581	S30582	30582	2007-004C	P   D       	THEMIS C	THEMIS P2	2007-02-17	A07173	2007 Feb 18 0014	Earth	2009 Jul 20	N	-	GSFC	US	SWALES	ATK-A100	-	     125 	 	     76 	 	     125 	 	   0.5 	 	  0.8 	 	   49.6 	 	Box + 2 Ant	2009 Jul  3	    3174	 	  117458	 	  8.75 	 	VHEO	-	-
30796	S30797	30797	2007-004D	P           	THEMIS D	THEMIS P3	2007-02-17	A07173	2007 Feb 18 0014	Earth	-	O	-	GSFC	US	SWALES	ATK-A100	-	     125 	 	     76 	 	     125 	 	   0.5 	 	  0.8 	 	   49.6 	 	Box + 2 Ant	2009 Jul  2	    4191	 	   67384	 	  4.08 	 	GEO/T	-	-
30797	S30798	30798	2007-004E	P           	THEMIS E	THEMIS P4	2007-02-17	A07173	2007 Feb 18 0014	Earth	-	O	-	GSFC	US	SWALES	ATK-A100	-	     125 	 	     76 	 	     125 	 	   0.5 	 	  0.8 	 	   49.6 	 	Box + 2 Ant	2009 Jul  2	    4202	 	   67372	 	  4.62 	 	GEO/T	-	-
31303	S31304	31304	2007-015A	P           	AIM	AIM	2007-04-25	S31305	2007 Apr 25 2036	Earth	-	O	-	GSFC	US	OSCD	LeoStar-2	-	     192 	 	    192 	 	     192 	 	   1.4 	 	  1.1 	 	    2.0 	?	Cyl + 2 Pan	2007 May  2	     585	 	     600	 	 97.79 	 	LLEO/S	-	-
31599	S31600	31600	2007-024A	PH H-V      	Atlantis  (STS-117)	OV-104	2007-06-08	A07195	2007 Jun  8 2346	Earth	2007 Jun 10 1936	DK	A06140	JSC	US	BNAP	STS OV	-	   95466 	 	  86895 	 	  115842 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	2007 Jun 11	     329	 	     340	 	 51.63 	 	LLEO/I	-	-
32002	S32003	32003	2007-034A	P   D       	Phoenix	Phoenix Lander	2007-08-04	S32004	2007 Aug  4 1050	Earth	2007 Aug  4 1718	DSO	D00853	JPL	US	LMSSD/DENV	Mars Surveyor	-	     410 	 	    343 	 	     680 	 	   2.2 	 	  1.5 	 	    5.5 	 	Box + 2 Pan	2007 Aug  4	     193	 	  -40716	 	 28.41 	 	EEO	-	-
32007	S32008	32008	2007-035A	PH H-V      	Endeavour (STS-118)	OV-105	2007-08-08	A07259	2007 Aug  8 2245	Earth	2007 Aug 10 1801	DK	A06140	JSC	US	BNAP	STS OV	-	   99349 	 	  91896 	 	  113763 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	2007 Aug 11	     335	 	     346	 	 51.63 	 	LLEO/I	-	-
32248	S32249	32249	2007-043A	P   D       	Dawn	Dawn	2007-09-27	S32250	2007 Sep 27 1236	Earth	2007 Sep 27 2115	DSO	D00864	JPL	US	OSCD	LEOStar-3?	NSTAR	    1218 	 	    747 	 	    1218 	 	   1.8 	 	  1.3 	 	   19.7 	 	Box + 2 Pan	2007 Sep 27	     209	 	  -83420	 	 28.90 	 	EEO	-	-
